Composition,Delta_H,Pressure,Temperature
Mg2Co,108,5.7,418
Mg2Co,108,5.7,418
Ti3Sb,110,,
Ce3Al,111.8,,
LaNi,118,,
TiCu,126,0.15,500
LaNi,126,,
Th2Al,130,0,500
Ti2Cu,130,0.12,500
Th1.5Ce.5Al,133,0,650
Th1.5Ce.5Al,133,0,650
LiPt,134,,
Zr2Cu,142,0.02,700
Zr2Cu,144,0,600
YbNi,147,,
Ce7Ni3,152,,
La7Ni3,152,,
Zr3V3O,152,0.1,700
ZrV2,155,,
Zr2Ni,183,0,604
Zr.975Nb.025,219,0.2,800
